Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
1189,9,7271,807.9
1190,9,7253,805.9
1191,8,7229,903.6
1192,8,7184,898.0
1193,9,7232,803.6
1194,9,7274,808.2
1195,9,7201,800.1
1196,9,7203,800.3
1197,9,7169,796.6
1198,9,7199,799.9
1199,9,7127,791.9
1200,9,7219,802.1
1201,9,7157,795.2
1202,10,7232,723.2
1203,10,7220,722.0
1204,9,7102,789.1
1205,10,7203,720.3
1206,10,7192,719.2
1207,10,7202,720.2
1208,9,7203,800.3
1209,10,7217,721.7
1210,10,7199,719.9
1211,11,7251,659.2
1212,11,7227,657.0
1213,11,7223,656.6
1214,11,7191,653.7
1215,10,7159,715.9
1216,10,7204,720.4
1217,12,7283,606.9
1218,11,7221,656.4
1219,12,7277,606.4
1220,11,7213,655.7
1221,11,7291,662.8
1222,11,7288,662.6
1223,11,7274,661.3
1224,11,7261,660.1
1225,11,7325,665.9
1226,10,7301,730.1
1227,11,7313,664.8
1228,10,7257,725.7
1229,10,7319,731.9
1230,10,7298,729.8
1231,10,7292,729.2
1232,10,7309,730.9
1233,10,7302,730.2
1234,9,7272,808.0
1235,9,7262,806.9
1236,9,7277,808.6
1237,9,7242,804.7
1238,10,7293,729.3
1239,10,7326,732.6
1240,10,7311,731.1
1241,10,7336,733.6
1242,10,7332,733.2
1243,9,7259,806.6
1244,9,7230,803.3
1245,9,7299,811.0
1246,8,7259,907.4
1247,8,7265,908.1
1248,9,7267,807.4
1249,9,7338,815.3
1250,9,7305,811.7
1251,9,7303,811.4
1252,10,7331,733.1
1253,10,7341,734.1
1254,10,7331,733.1
1255,10,7308,730.8
1256,10,7332,733.2
1257,10,7269,726.9
1258,10,7302,730.2
1259,10,7319,731.9
1260,10,7288,728.8
1261,10,7278,727.8
1262,10,7312,731.2
1263,10,7309,730.9
1264,10,7282,728.2
1265,10,7321,732.1
1266,10,7312,731.2
1267,10,7298,729.8
1268,10,7335,733.5
1269,9,7277,808.6
1270,10,7320,732.0
1271,10,7293,729.3
