Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
856,13,6904,531.1
857,12,6677,556.4
858,9,5907,656.3
859,10,6005,600.5
860,11,6301,572.8
861,10,6072,607.2
862,9,6005,667.2
863,9,5729,636.6
864,10,6007,600.7
865,10,6296,629.6
866,10,5872,587.2
867,9,5811,645.7
868,11,6556,596.0
869,11,6365,578.6
870,11,6426,584.2
871,10,5867,586.7
872,12,6834,569.5
873,11,6736,612.4
874,11,6659,605.4
875,11,6740,612.7
876,12,6510,542.5
877,13,6890,530.0
878,11,6733,612.1
879,9,6350,705.6
880,6,2788,464.7
881,11,5897,536.1
882,10,5762,576.2
883,10,5610,561.0
884,10,5642,564.2
885,8,5562,695.2
886,9,5494,610.4
887,10,5511,551.1
888,9,5366,596.2
889,10,5673,567.3
890,10,5635,563.5
891,10,5587,558.7
892,8,5357,669.6
893,9,5410,601.1
894,8,5422,677.8
895,12,6093,507.8
896,10,5534,553.4
897,8,5287,660.9
898,9,5472,608.0
899,8,5339,667.4
900,10,5711,571.1
901,8,5246,655.8
902,11,5517,501.5
903,9,5495,610.6
904,9,5435,603.9
905,9,5422,602.4
906,7,5186,740.9
907,6,5280,880.0
908,6,5373,895.5
909,6,5476,912.7
910,7,5459,779.9
911,7,5449,778.4
912,7,5431,775.9
913,7,5491,784.4
914,6,5519,919.8
915,7,5537,791.0
916,7,5501,785.9
917,6,5522,920.3
918,6,5462,910.3
919,6,5505,917.5
920,8,5606,700.8
921,6,5463,910.5
922,6,5437,906.2
923,6,5451,908.5
924,6,5466,911.0
925,7,5505,786.4
926,6,5509,918.2
927,6,5499,916.5
928,6,5494,915.7
929,7,5534,790.6
930,6,5479,913.2
931,6,5481,913.5
932,5,5509,1101.8
933,6,5517,919.5
934,6,5503,917.2
935,6,5499,916.5
936,6,5494,915.7
937,6,5491,915.2
938,6,5503,917.2
939,5,5254,1050.8
940,5,5414,1082.8
941,5,5441,1088.2
942,6,5437,906.2
943,5,5407,1081.4
944,7,5626,803.7
945,6,5534,922.3
946,6,5472,912.0
947,6,5493,915.5
948,5,5420,1084.0
949,6,5430,905.0
950,5,5416,1083.2
951,6,5465,910.8
952,7,5543,791.9
953,9,5614,623.8
954,8,5562,695.2
955,8,6560,820.0
956,8,6507,813.4
957,7,5497,785.3
958,8,6586,823.2
959,8,5604,700.5
960,9,6675,741.7
961,7,6497,928.1
962,8,6503,812.9
963,5,5463,1092.6
