Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
663,14,5519,394.2
664,14,5538,395.6
665,14,5591,399.4
666,14,5600,400.0
667,14,5607,400.5
668,14,5640,402.9
669,17,5637,331.6
670,13,5521,424.7
671,18,5588,310.4
672,14,5687,406.2
673,14,5620,401.4
674,14,5569,397.8
675,16,5624,351.5
676,16,5702,356.4
677,14,5569,397.8
678,15,5639,375.9
679,15,5632,375.5
680,15,5661,377.4
681,15,5601,373.4
682,16,5630,351.9
683,15,5568,371.2
684,16,5660,353.8
685,15,5616,374.4
686,15,5583,372.2
687,15,5555,370.3
688,18,5601,311.2
689,19,5605,295.0
690,15,5584,372.3
691,14,5540,395.7
692,14,5523,394.5
693,15,5611,374.1
694,14,5531,395.1
695,14,5548,396.3
696,15,5597,373.1
697,14,5508,393.4
698,14,5561,397.2
699,14,5563,397.4
700,14,5550,396.4
701,15,5610,374.0
702,14,5567,397.6
703,13,5481,421.6
704,14,5518,394.1
705,14,5568,397.7
706,14,5544,396.0
707,13,5494,422.6
708,14,5564,397.4
709,13,5547,426.7
710,12,5513,459.4
711,15,5688,379.2
712,15,5680,378.7
713,13,5529,425.3
714,10,5464,546.4
715,11,5453,495.7
716,14,5488,392.0
717,16,5695,355.9
718,14,5593,399.5
719,12,5518,459.8
720,12,5506,458.8
721,14,5552,396.6
722,13,5670,436.2
723,12,5586,465.5
724,12,5568,464.0
725,13,5567,428.2
726,12,5585,465.4
727,13,5576,428.9
728,14,5670,405.0
729,12,5497,458.1
730,12,5489,457.4
731,11,5524,502.2
732,11,5564,505.8
733,12,5578,464.8
734,11,5595,508.6
735,12,5575,464.6
736,14,5650,403.6
737,12,5632,469.3
738,12,5614,467.8
739,14,5656,404.0
740,13,5683,437.2
741,15,5717,381.1
742,13,5745,441.9
743,15,5764,384.3
744,13,5721,440.1
745,13,5648,434.5
746,14,5680,405.7
747,13,5675,436.5
748,12,5606,467.2
749,12,5622,468.5
750,14,5719,408.5
751,14,5642,403.0
752,13,5650,434.6
753,14,5736,409.7
754,13,5668,436.0
755,12,5618,468.2
756,13,5694,438.0
757,13,5692,437.8
758,13,5709,439.2
759,12,5650,470.8
760,12,5697,474.8
761,12,5650,470.8
762,12,5676,473.0
763,12,5723,476.9
764,12,5704,475.3
765,12,5706,475.5
766,12,5776,481.3
767,12,5738,478.2
768,12,5744,478.7
769,12,5736,478.0
770,12,5737,478.1
771,11,5740,521.8
772,11,5742,522.0
773,11,5722,520.2
774,11,5756,523.3
775,11,5735,521.4
776,11,5705,518.6
777,10,5597,559.7
778,10,5640,564.0
779,9,5630,625.6
780,9,5589,621.0
781,8,5568,696.0
782,9,5596,621.8
783,8,5634,704.2
784,9,5592,621.3
785,9,5619,624.3
786,9,5667,629.7
787,9,5697,633.0
788,9,5633,625.9
789,9,5639,626.6
790,9,5717,635.2
791,10,5725,572.5
792,11,5757,523.4
793,10,5675,567.5
794,9,5623,624.8
795,11,5696,517.8
796,10,5660,566.0
797,9,5593,621.4
798,9,5539,615.4
799,11,5677,516.1
800,11,5689,517.2
801,11,5687,517.0
802,11,5686,516.9
803,11,5620,510.9
804,11,5757,523.4
805,11,5702,518.4
806,11,5701,518.3
807,11,5718,519.8
808,12,5766,480.5
