Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
538,18,8274,459.7
539,18,7701,427.8
540,18,7221,401.2
541,16,6873,429.6
542,19,8031,422.7
543,16,7302,456.4
544,16,7820,488.8
545,15,7391,492.7
546,16,7484,467.8
547,16,7683,480.2
548,14,7074,505.3
549,15,7255,483.7
550,16,7502,468.9
551,13,6808,523.7
552,13,7123,547.9
553,13,6712,516.3
554,12,6712,559.3
555,17,7645,449.7
556,16,7079,442.4
557,18,7968,442.7
558,17,7389,434.6
559,18,7637,424.3
560,14,6907,493.4
561,15,7246,483.1
562,14,7219,515.6
563,15,7546,503.1
564,15,7807,520.5
565,15,8004,533.6
566,15,7863,524.2
567,16,8287,517.9
568,17,8552,503.1
569,17,8509,500.5
570,17,8509,500.5
571,17,8452,497.2
572,17,8357,491.6
573,18,8373,465.2
574,17,8173,480.8
575,17,8205,482.6
576,17,8150,479.4
577,18,8330,462.8
578,18,8355,464.2
579,20,8704,435.2
580,18,8356,464.2
581,18,8391,466.2
582,17,8332,490.1
583,16,8195,512.2
584,18,8347,463.7
585,18,8385,465.8
586,19,9038,475.7
587,18,8283,460.2
588,17,8790,517.1
589,18,8784,488.0
590,18,8805,489.2
591,18,8818,489.9
592,18,8899,494.4
593,20,8836,441.8
594,18,8717,484.3
595,16,8091,505.7
596,19,8803,463.3
597,13,7534,579.5
598,19,8628,454.1
599,17,8566,503.9
600,10,6448,644.8
601,11,6938,630.7
602,10,6902,690.2
603,16,8192,512.0
604,16,8163,510.2
605,15,7372,491.5
606,15,7433,495.5
607,16,7560,472.5
608,15,7454,496.9
609,14,7821,558.6
610,13,7756,596.6
611,12,7705,642.1
612,11,6075,552.3
613,10,5461,546.1
614,11,5441,494.6
615,12,6072,506.0
616,11,5394,490.4
617,11,4876,443.3
618,10,4799,479.9
619,9,4765,529.4
620,10,4873,487.3
621,11,5483,498.5
622,11,5225,475.0
623,10,5855,585.5
624,11,5832,530.2
625,12,6013,501.1
626,11,6045,549.5
