Frame,tube_count,total_peptides_in_tubes,avg_tube_size
699,0,0,0.0
700,0,0,0.0
701,1,91,91.0
702,3,196,65.3
703,2,182,91.0
704,3,217,72.3
705,3,219,73.0
706,1,63,63.0
707,3,203,67.7
708,0,0,0.0
709,0,0,0.0
710,0,0,0.0
711,2,237,118.5
712,2,172,86.0
713,0,0,0.0
714,0,0,0.0
715,0,0,0.0
716,1,56,56.0
717,3,202,67.3
718,0,0,0.0
719,5,390,78.0
720,3,194,64.7
721,3,182,60.7
722,1,77,77.0
723,1,56,56.0
724,2,139,69.5
725,0,0,0.0
726,0,0,0.0
727,1,64,64.0
728,1,56,56.0
729,2,179,89.5
730,1,56,56.0
731,1,98,98.0
732,2,145,72.5
733,3,188,62.7
734,1,61,61.0
735,1,91,91.0
736,1,61,61.0
737,1,92,92.0
738,2,126,63.0
739,3,172,57.3
740,3,193,64.3
741,2,147,73.5
742,4,259,64.8
743,0,0,0.0
744,2,180,90.0
745,1,77,77.0
746,3,238,79.3
747,1,84,84.0
748,0,0,0.0
749,0,0,0.0
750,0,0,0.0
751,2,154,77.0
752,2,133,66.5
753,2,180,90.0
754,1,80,80.0
755,1,56,56.0
756,0,0,0.0
757,0,0,0.0
758,2,119,59.5
759,0,0,0.0
760,1,61,61.0
761,1,84,84.0
762,1,61,61.0
763,5,324,64.8
764,3,203,67.7
765,0,0,0.0
766,3,258,86.0
767,2,128,64.0
768,0,0,0.0
769,1,56,56.0
770,1,64,64.0
771,3,192,64.0
772,4,350,87.5
773,3,275,91.7
774,2,168,84.0
775,0,0,0.0
776,0,0,0.0
777,4,277,69.2
778,2,128,64.0
779,0,0,0.0
780,1,75,75.0
781,0,0,0.0
782,2,133,66.5
783,1,56,56.0
784,0,0,0.0
785,2,121,60.5
786,1,59,59.0
787,1,68,68.0
788,2,161,80.5
789,1,77,77.0
790,2,119,59.5
791,4,233,58.2
792,2,154,77.0
793,2,126,63.0
794,1,133,133.0
795,0,0,0.0
796,0,0,0.0
797,1,63,63.0
798,1,59,59.0
799,1,97,97.0
800,0,0,0.0
801,4,224,56.0
802,0,0,0.0
803,1,77,77.0
804,2,173,86.5
805,2,318,159.0
806,2,119,59.5
807,1,84,84.0
808,0,0,0.0
809,2,133,66.5
