Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1329,38,2988,78.6
1330,31,2526,81.5
1331,42,3123,74.4
1332,44,3346,76.0
1333,35,2706,77.3
1334,41,3250,79.3
1335,45,3347,74.4
1336,42,3209,76.4
1337,49,3617,73.8
1338,41,3063,74.7
1339,43,2823,65.7
1340,44,2871,65.2
1341,37,2641,71.4
1342,47,3472,73.9
1343,38,2932,77.2
1344,44,3795,86.2
1345,38,2956,77.8
1346,30,2467,82.2
1347,39,3337,85.6
1348,42,3606,85.9
1349,38,3274,86.2
1350,28,2594,92.6
1351,42,3268,77.8
1352,38,3110,81.8
1353,45,3477,77.3
1354,43,3349,77.9
1355,35,2523,72.1
1356,43,3101,72.1
1357,44,3333,75.8
1358,39,2951,75.7
1359,33,2549,77.2
1360,40,3272,81.8
1361,51,3618,70.9
1362,42,3199,76.2
1363,40,3449,86.2
1364,40,3134,78.4
1365,43,3637,84.6
1366,37,3015,81.5
1367,42,3446,82.0
1368,43,3309,77.0
1369,44,3353,76.2
1370,49,3573,72.9
1371,41,3202,78.1
1372,47,3399,72.3
1373,40,2868,71.7
1374,40,3215,80.4
1375,41,3322,81.0
1376,46,3600,78.3
1377,47,3450,73.4
1378,46,3396,73.8
1379,44,3646,82.9
1380,37,2784,75.2
1381,43,3441,80.0
1382,35,2725,77.9
1383,38,2994,78.8
1384,36,2908,80.8
1385,35,2763,78.9
1386,39,3090,79.2
1387,40,3347,83.7
1388,43,3649,84.9
1389,33,2466,74.7
1390,41,3309,80.7
1391,41,3042,74.2
1392,43,3305,76.9
1393,45,3276,72.8
1394,40,3526,88.2
1395,38,3060,80.5
1396,39,3327,85.3
1397,37,3117,84.2
1398,35,3079,88.0
1399,40,3372,84.3
1400,36,3058,84.9
1401,49,3827,78.1
1402,37,3116,84.2
1403,35,2911,83.2
1404,32,2753,86.0
1405,29,2366,81.6
1406,43,3430,79.8
1407,37,2990,80.8
1408,40,3593,89.8
1409,38,3160,83.2
1410,45,3714,82.5
1411,41,2909,71.0
1412,44,3415,77.6
1413,34,2696,79.3
1414,36,2996,83.2
1415,34,2801,82.4
1416,35,2660,76.0
1417,38,3213,84.6
1418,37,2845,76.9
1419,38,2907,76.5
1420,39,3058,78.4
1421,35,3010,86.0
1422,36,2655,73.8
1423,40,3373,84.3
1424,46,4000,87.0
1425,37,3062,82.8
1426,37,3207,86.7
1427,42,3247,77.3
1428,34,3166,93.1
1429,41,3161,77.1
1430,28,2379,85.0
1431,33,2603,78.9
1432,45,3500,77.8
1433,38,2829,74.4
1434,45,3688,82.0
1435,49,3744,76.4
1436,37,3074,83.1
1437,51,3588,70.4
1438,44,3417,77.7
1439,37,3538,95.6
1440,38,3251,85.6
1441,44,3661,83.2
1442,45,3451,76.7
1443,45,3145,69.9
1444,38,2917,76.8
1445,35,3223,92.1
1446,40,3548,88.7
1447,38,3046,80.2
1448,40,3008,75.2
1449,45,3931,87.4
1450,44,3127,71.1
1451,44,3610,82.0
1452,49,3510,71.6
1453,41,2866,69.9
1454,45,3850,85.6
1455,38,3101,81.6
1456,46,3230,70.2
1457,39,3017,77.4
1458,44,3249,73.8
1459,45,3106,69.0
1460,40,2473,61.8
1461,47,3450,73.4
1462,41,2919,71.2
1463,37,2810,75.9
1464,44,3289,74.8
1465,40,2970,74.2
1466,47,3360,71.5
1467,47,3424,72.9
1468,48,3374,70.3
1469,51,3739,73.3
1470,48,3551,74.0
1471,43,3370,78.4
1472,43,3329,77.4
1473,52,3666,70.5
1474,42,2992,71.2
1475,46,3434,74.7
1476,50,3558,71.2
1477,43,3368,78.3
1478,42,3054,72.7
1479,46,3312,72.0
1480,47,3238,68.9
1481,45,3449,76.6
1482,45,3122,69.4
1483,42,3600,85.7
1484,42,3607,85.9
1485,44,3112,70.7
1486,49,3418,69.8
1487,43,3287,76.4
1488,44,3203,72.8
1489,54,3598,66.6
1490,51,4158,81.5
1491,42,3116,74.2
1492,43,3634,84.5
1493,44,3222,73.2
1494,37,2810,75.9
1495,38,3031,79.8
1496,38,2857,75.2
1497,47,3621,77.0
1498,37,2966,80.2
1499,38,3157,83.1
1500,32,2989,93.4
1501,46,3682,80.0
1502,35,2966,84.7
1503,36,2904,80.7
1504,39,3199,82.0
1505,44,3201,72.8
1506,51,3838,75.3
1507,40,3510,87.8
1508,35,3119,89.1
1509,38,3182,83.7
1510,46,3329,72.4
1511,39,2938,75.3
1512,39,3104,79.6
1513,38,2820,74.2
1514,43,3295,76.6
1515,46,3434,74.7
1516,44,3492,79.4
1517,43,3600,83.7
1518,45,3351,74.5
1519,37,2957,79.9
1520,44,3257,74.0
1521,39,3231,82.8
