Frame,shape,pathway
11353,sheet,sheet->vesicle
11354,sheet,sheet->vesicle
11355,sheet,sheet->vesicle
11356,sheet,sheet->vesicle
11357,sheet,sheet->vesicle
11358,sheet,sheet->vesicle
11359,sheet,sheet->vesicle
11360,sheet,sheet->vesicle
11361,sheet,sheet->vesicle
11362,sheet,sheet->vesicle
11363,sheet,sheet->vesicle
11364,sheet,sheet->vesicle
11365,sheet,sheet->vesicle
11366,sheet,sheet->vesicle
11367,sheet,sheet->vesicle
11368,sheet,sheet->vesicle
11369,sheet,sheet->vesicle
11370,fiber,fiber-only
11371,fiber,fiber-only
11372,sheet,sheet->vesicle
11373,sheet,sheet->vesicle
11374,sheet,sheet->vesicle
11375,fiber,fiber-only
11376,fiber,fiber-only
11377,fiber,fiber-only
11378,sheet,sheet->vesicle
11379,fiber,fiber-only
11380,sheet,sheet->vesicle
11381,sheet,sheet->vesicle
11382,sheet,sheet->vesicle
11383,sheet,sheet->vesicle
11384,sheet,sheet->vesicle
11385,fiber,fiber-only
11386,fiber,fiber-only
11387,fiber,fiber-only
11388,fiber,fiber-only
11389,fiber,fiber-only
11390,fiber,fiber-only
11391,sheet,sheet->vesicle
11392,fiber,fiber-only
11393,sheet,sheet->vesicle
11394,fiber,fiber-only
11395,sheet,sheet->vesicle
11396,fiber,fiber-only
11397,sheet,sheet->vesicle
11398,sheet,sheet->vesicle
11399,fiber,fiber-only
11400,fiber,fiber-only
11401,fiber,fiber-only
11402,fiber,fiber-only
11403,fiber,fiber-only
11404,fiber,fiber-only
11405,fiber,fiber-only
11406,fiber,fiber-only
11407,fiber,fiber-only
11408,fiber,fiber-only
11409,fiber,fiber-only
11410,fiber,fiber-only
11411,fiber,fiber-only
11412,fiber,fiber-only
11413,fiber,fiber-only
11414,fiber,fiber-only
11415,fiber,fiber-only
11416,fiber,fiber-only
11417,fiber,fiber-only
11418,fiber,fiber-only
11419,fiber,fiber-only
11420,fiber,fiber-only
11421,fiber,fiber-only
11422,fiber,fiber-only
11423,fiber,fiber-only
11424,fiber,fiber-only
11425,fiber,fiber-only
11426,fiber,fiber-only
11427,fiber,fiber-only
11428,fiber,fiber-only
11429,fiber,fiber-only
11430,fiber,fiber-only
11431,fiber,fiber-only
11432,fiber,fiber-only
11433,fiber,fiber-only
11434,fiber,fiber-only
11435,fiber,fiber-only
11436,fiber,fiber-only
11437,fiber,fiber-only
11438,fiber,fiber-only
11439,fiber,fiber-only
11440,fiber,fiber-only
11441,fiber,fiber-only
11442,fiber,fiber-only
11443,fiber,fiber-only
11444,fiber,fiber-only
11445,fiber,fiber-only
11446,fiber,fiber-only
11447,fiber,fiber-only
11448,fiber,fiber-only
11449,fiber,fiber-only
11450,fiber,fiber-only
11451,fiber,fiber-only
11452,fiber,fiber-only
11453,fiber,fiber-only
11454,fiber,fiber-only
11455,fiber,fiber-only
11456,fiber,fiber-only
11457,fiber,fiber-only
11458,fiber,fiber-only
11459,fiber,fiber-only
11460,fiber,fiber-only
11461,fiber,fiber-only
11462,fiber,fiber-only
11463,fiber,fiber-only
11464,fiber,fiber-only
11465,fiber,fiber-only
11466,fiber,fiber-only
11467,fiber,fiber-only
11468,fiber,fiber-only
11469,fiber,fiber-only
11470,fiber,fiber-only
11471,fiber,fiber-only
11472,fiber,fiber-only
11473,fiber,fiber-only
11474,fiber,fiber-only
11475,fiber,fiber-only
11476,fiber,fiber-only
11477,fiber,fiber-only
11478,fiber,fiber-only
11479,fiber,fiber-only
11480,fiber,fiber-only
11481,fiber,fiber-only
11482,fiber,fiber-only
11483,fiber,fiber-only
11484,fiber,fiber-only
11485,fiber,fiber-only
11486,fiber,fiber-only
11487,fiber,fiber-only
11488,fiber,fiber-only
11489,fiber,fiber-only
11490,fiber,fiber-only
11491,fiber,fiber-only
11492,fiber,fiber-only
11493,fiber,fiber-only
11494,fiber,fiber-only
11495,fiber,fiber-only
11496,fiber,fiber-only
11497,fiber,fiber-only
11498,fiber,fiber-only
11499,fiber,fiber-only
11500,fiber,fiber-only
11501,fiber,fiber-only
11502,fiber,fiber-only
11503,fiber,fiber-only
11504,fiber,fiber-only
11505,fiber,fiber-only
11506,fiber,fiber-only
11507,fiber,fiber-only
11508,fiber,fiber-only
11509,fiber,fiber-only
11510,fiber,fiber-only
11511,fiber,fiber-only
11512,fiber,fiber-only
11513,fiber,fiber-only
11514,fiber,fiber-only
11515,fiber,fiber-only
11516,fiber,fiber-only
11517,fiber,fiber-only
11518,fiber,fiber-only
11519,fiber,fiber-only
11520,fiber,fiber-only
11521,fiber,fiber-only
11522,fiber,fiber-only
11523,fiber,fiber-only
11524,fiber,fiber-only
