Frame,dominant_state
1183,vesicle
1184,vesicle
1185,vesicle
1186,vesicle
1187,vesicle
1188,vesicle
1189,vesicle
1190,vesicle
1191,vesicle
1192,vesicle
1193,vesicle
1194,vesicle
1195,vesicle
1196,vesicle
1197,vesicle
1198,vesicle
1199,vesicle
1200,vesicle
1201,vesicle
1202,vesicle
1203,vesicle
1204,vesicle
1205,vesicle
1206,vesicle
1207,vesicle
1208,vesicle
1209,vesicle
1210,vesicle
1211,vesicle
1212,vesicle
1213,vesicle
1214,vesicle
1215,vesicle
1216,vesicle
1217,vesicle
1218,vesicle
1219,vesicle
1220,vesicle
1221,vesicle
1222,vesicle
1223,vesicle
1224,vesicle
1225,vesicle
1226,vesicle
1227,vesicle
1228,vesicle
1229,vesicle
1230,vesicle
1231,vesicle
1232,vesicle
1233,vesicle
1234,vesicle
1235,vesicle
1236,vesicle
1237,vesicle
1238,vesicle
1239,vesicle
1240,vesicle
1241,vesicle
1242,vesicle
1243,vesicle
1244,vesicle
1245,vesicle
1246,vesicle
1247,vesicle
1248,vesicle
1249,vesicle
1250,vesicle
1251,vesicle
1252,vesicle
1253,vesicle
1254,vesicle
1255,vesicle
1256,vesicle
1257,vesicle
1258,vesicle
1259,vesicle
1260,vesicle
1261,vesicle
1262,vesicle
1263,vesicle
1264,vesicle
1265,vesicle
1266,vesicle
1267,vesicle
1268,vesicle
1269,vesicle
1270,vesicle
1271,vesicle
1272,vesicle
1273,vesicle
1274,vesicle
1275,vesicle
1276,vesicle
1277,vesicle
1278,vesicle
1279,vesicle
1280,vesicle
1281,vesicle
1282,vesicle
1283,vesicle
1284,vesicle
1285,vesicle
1286,vesicle
1287,vesicle
1288,vesicle
1289,vesicle
1290,vesicle
1291,vesicle
1292,vesicle
1293,vesicle
1294,vesicle
1295,vesicle
1296,vesicle
1297,vesicle
1298,vesicle
1299,vesicle
1300,vesicle
1301,vesicle
1302,vesicle
1303,vesicle
1304,vesicle
1305,vesicle
1306,vesicle
1307,vesicle
1308,vesicle
1309,vesicle
1310,vesicle
1311,vesicle
1312,vesicle
1313,vesicle
1314,vesicle
1315,vesicle
1316,vesicle
1317,vesicle
1318,vesicle
1319,vesicle
1320,vesicle
1321,vesicle
1322,vesicle
1323,vesicle
1324,vesicle
1325,vesicle
1326,vesicle
1327,vesicle
1328,vesicle
1329,vesicle
1330,vesicle
1331,vesicle
1332,vesicle
1333,vesicle
1334,vesicle
1335,vesicle
1336,vesicle
1337,vesicle
1338,vesicle
1339,vesicle
1340,vesicle
1341,vesicle
1342,vesicle
1343,vesicle
1344,vesicle
1345,vesicle
1346,vesicle
1347,vesicle
1348,vesicle
1349,vesicle
1350,vesicle
1351,vesicle
1352,vesicle
1353,vesicle
1354,vesicle
1355,vesicle
1356,vesicle
1357,vesicle
1358,vesicle
1359,vesicle
1360,vesicle
1361,vesicle
1362,vesicle
1363,vesicle
1364,vesicle
1365,vesicle
1366,vesicle
1367,vesicle
1368,vesicle
1369,vesicle
1370,vesicle
1371,vesicle
1372,vesicle
1373,vesicle
1374,vesicle
1375,vesicle
1376,vesicle
1377,vesicle
1378,vesicle
1379,vesicle
1380,vesicle
1381,vesicle
1382,vesicle
1383,vesicle
1384,vesicle
1385,vesicle
1386,vesicle
1387,vesicle
1388,vesicle
1389,vesicle
1390,vesicle
1391,vesicle
1392,vesicle
1393,vesicle
1394,vesicle
1395,vesicle
1396,vesicle
1397,vesicle
1398,vesicle
1399,vesicle
1400,vesicle
1401,vesicle
1402,vesicle
1403,vesicle
1404,vesicle
1405,vesicle
1406,vesicle
1407,vesicle
1408,vesicle
1409,vesicle
1410,vesicle
1411,vesicle
1412,vesicle
1413,vesicle
1414,vesicle
1415,vesicle
1416,vesicle
1417,vesicle
1418,vesicle
1419,vesicle
1420,vesicle
1421,vesicle
1422,vesicle
1423,vesicle
1424,vesicle
1425,vesicle
1426,vesicle
1427,vesicle
1428,vesicle
1429,vesicle
1430,vesicle
1431,vesicle
1432,vesicle
1433,vesicle
1434,vesicle
1435,tube
1436,vesicle
1437,vesicle
1438,vesicle
1439,vesicle
1440,vesicle
1441,vesicle
1442,vesicle
1443,vesicle
1444,vesicle
1445,vesicle
1446,vesicle
1447,vesicle
1448,vesicle
1449,vesicle
1450,vesicle
1451,tube
1452,vesicle
1453,vesicle
1454,vesicle
1455,vesicle
1456,vesicle
1457,vesicle
1458,vesicle
1459,vesicle
1460,vesicle
1461,vesicle
1462,vesicle
1463,vesicle
1464,vesicle
1465,vesicle
1466,vesicle
1467,vesicle
